Expiry,Strike,Last Price,Bid,Ask,Volume,Open Interest,Time_to_Maturity,Option_Price,Log_Return,Volatility
2024-06-21,265.0,0.01,0.0,0.01,8.0,5621,0.0136892539356605,0.01,0.0,8.233504761081507
2024-06-21,270.0,0.01,0.0,0.01,45.0,115,0.0136892539356605,0.01,0.0,7.813156590077386
2024-06-21,275.0,0.01,0.0,0.01,5.0,25,0.0136892539356605,0.01,0.0,7.249689085332264
2024-06-21,300.0,0.01,0.0,0.02,1.0,291,0.0136892539356605,0.01,0.0,6.827941089842839
2024-06-21,1120.0,1233.0,0.0,0.0,2.0,2,0.0136892539356605,1233.0,11.722375689152436,41.41092092335645
2024-06-21,1200.0,1173.55,0.0,0.0,1.0,18,0.0136892539356605,1173.55,-0.0494168811967935,41.238433791885605
2024-06-21,1350.0,1048.6,0.0,0.0,2.0,0,0.0136892539356605,1048.6,-0.11257740182911849,41.29601960760871
2024-06-21,1400.0,911.46,996.0,1015.0,2.0,0,0.0136892539356605,911.46,-0.14016351069080601,40.96117133946511
2024-06-21,1450.0,956.94,0.0,0.0,2.0,0,0.0136892539356605,956.94,0.04869298411509135,40.99239320044317
2024-06-21,1500.0,979.01,0.0,0.0,1.0,1,0.0136892539356605,979.01,0.022801163420221333,40.98887286907856
2024-06-21,1550.0,907.23,0.0,0.0,4.0,0,0.0136892539356605,907.23,-0.0761458557731429,41.001756017624245
2024-06-21,1650.0,739.24,811.5,830.5,2.0,0,0.0136892539356605,739.24,-0.2047733697922408,41.04000464389929
2024-06-21,1700.0,793.28,0.0,0.0,1.0,2,0.0136892539356605,793.28,0.07055361742927012,41.02988234678039
2024-06-21,1750.0,699.19,743.0,762.0,2.0,1,0.0136892539356605,699.19,-0.12625372666727191,40.8681135303746
2024-06-21,1900.0,649.81,0.0,0.0,8.0,13,0.0136892539356605,649.81,-0.07324250971239933,40.88089418661925
2024-06-21,1950.0,619.36,0.0,0.0,8.0,9,0.0136892539356605,619.36,-0.04799332563781636,40.88903735261472
2024-06-21,2000.0,595.0,0.0,0.0,6.0,11,0.0136892539356605,595.0,-0.040125281283708285,40.93001745783629
2024-06-21,2050.0,555.74,0.0,0.0,1.0,1,0.0136892539356605,555.74,-0.06826084656541666,40.941006284058076
