Expiry,Strike,Last Price,Bid,Ask,Volume,Open Interest,Time_to_Maturity,Option_Price
2024-06-28,135.0,41.5,41.75,42.55,1.0,2,0.03285420944558522,41.5
2024-06-28,140.0,36.86,36.8,37.45,1.0,44,0.03285420944558522,36.86
2024-06-28,145.0,31.92,31.75,32.45,3.0,20,0.03285420944558522,31.92
2024-06-28,150.0,27.25,26.8,27.6,59.0,21,0.03285420944558522,27.25
2024-06-28,155.0,21.95,21.85,22.45,5.0,31,0.03285420944558522,21.95
2024-06-28,157.5,18.07,19.45,20.15,1.0,1,0.03285420944558522,18.07
2024-06-28,160.0,16.59,16.9,17.7,2.0,1002,0.03285420944558522,16.59
2024-06-28,162.5,12.95,14.45,15.25,,2,0.03285420944558522,12.95
2024-06-28,165.0,12.3,12.3,12.55,11.0,210,0.03285420944558522,12.3
2024-06-28,167.5,9.69,9.95,10.4,51.0,200,0.03285420944558522,9.69
2024-06-28,170.0,7.38,7.75,8.25,91.0,1971,0.03285420944558522,7.38
2024-06-28,172.5,5.7,5.75,5.95,251.0,197,0.03285420944558522,5.7
2024-06-28,175.0,4.1,4.05,4.2,684.0,1103,0.03285420944558522,4.1
2024-06-28,177.5,2.73,2.61,2.78,680.0,844,0.03285420944558522,2.73
2024-06-28,180.0,1.63,1.5,1.7,2492.0,1959,0.03285420944558522,1.63
2024-06-28,182.5,0.94,0.95,1.0,562.0,263,0.03285420944558522,0.94
2024-06-28,185.0,0.53,0.5,0.56,834.0,2430,0.03285420944558522,0.53
2024-06-28,187.5,0.28,0.26,0.29,38.0,214,0.03285420944558522,0.28
2024-06-28,190.0,0.16,0.14,0.16,113.0,1109,0.03285420944558522,0.16
2024-06-28,192.5,0.09,0.07,0.12,30.0,76,0.03285420944558522,0.09
2024-06-28,195.0,0.05,0.05,0.09,28.0,2419,0.03285420944558522,0.05
2024-06-28,197.5,0.05,0.03,0.07,1.0,261,0.03285420944558522,0.05
2024-06-28,200.0,0.04,0.02,0.05,73.0,692,0.03285420944558522,0.04
2024-06-28,205.0,0.04,0.02,0.03,22.0,51,0.03285420944558522,0.04
2024-06-28,210.0,0.03,0.0,0.04,2.0,566,0.03285420944558522,0.03
2024-06-28,215.0,0.03,0.0,0.04,1.0,4,0.03285420944558522,0.03
2024-06-28,220.0,0.03,0.0,0.04,41.0,44,0.03285420944558522,0.03
2024-06-28,225.0,0.04,0.0,0.04,1.0,15,0.03285420944558522,0.04
2024-06-28,230.0,0.04,0.0,0.44,1.0,2,0.03285420944558522,0.04
2024-06-28,240.0,0.08,0.0,0.23,,1,0.03285420944558522,0.08
2024-07-05,75.0,99.63,101.7,102.5,1.0,1,0.05201916495550993,99.63
2024-07-05,85.0,88.35,91.7,92.55,6.0,6,0.05201916495550993,88.35
2024-07-05,90.0,86.12,86.75,87.55,4.0,4,0.05201916495550993,86.12
2024-07-05,105.0,70.87,71.8,72.6,1.0,1,0.05201916495550993,70.87
2024-07-05,110.0,66.89,66.8,67.6,,1,0.05201916495550993,66.89
2024-07-05,115.0,60.01,61.8,62.6,1.0,1,0.05201916495550993,60.01
2024-07-05,120.0,54.01,56.85,57.6,10.0,15,0.05201916495550993,54.01
2024-07-05,135.0,42.45,41.9,42.65,,1,0.05201916495550993,42.45
2024-07-05,140.0,37.7,36.95,37.65,5.0,8,0.05201916495550993,37.7
2024-07-05,145.0,32.47,31.95,32.7,1.0,1,0.05201916495550993,32.47
2024-07-05,150.0,24.9,27.0,27.8,2.0,15,0.05201916495550993,24.9
2024-07-05,155.0,22.6,22.05,22.85,1.0,3,0.05201916495550993,22.6
2024-07-05,160.0,17.27,16.35,18.85,1.0,61,0.05201916495550993,17.27
2024-07-05,165.0,12.35,11.6,13.9,23.0,67,0.05201916495550993,12.35
2024-07-05,170.0,7.95,8.25,8.6,171.0,534,0.05201916495550993,7.95
2024-07-05,175.0,4.5,4.7,4.9,497.0,772,0.05201916495550993,4.5
2024-07-05,180.0,2.28,2.25,2.65,522.0,954,0.05201916495550993,2.28
2024-07-05,185.0,0.87,0.87,0.97,517.0,647,0.05201916495550993,0.87
2024-07-05,190.0,0.31,0.29,0.35,569.0,712,0.05201916495550993,0.31
2024-07-05,195.0,0.15,0.1,0.15,26.0,850,0.05201916495550993,0.15
2024-07-05,200.0,0.11,0.05,0.1,4.0,196,0.05201916495550993,0.11
2024-07-05,205.0,0.06,0.02,0.07,21.0,42,0.05201916495550993,0.06
2024-07-05,210.0,0.05,0.01,0.07,402.0,402,0.05201916495550993,0.05
2024-07-05,215.0,0.05,0.0,0.06,,1,0.05201916495550993,0.05
2024-07-05,220.0,0.05,0.0,0.05,4.0,11,0.05201916495550993,0.05
2024-07-05,225.0,0.01,0.0,0.05,1.0,1,0.05201916495550993,0.01
2024-07-12,100.0,75.47,76.85,77.65,4.0,13,0.07118412046543464,75.47
2024-07-12,105.0,71.85,71.9,72.75,2.0,2,0.07118412046543464,71.85
2024-07-12,140.0,37.95,37.05,37.95,1.0,2,0.07118412046543464,37.95
2024-07-12,145.0,32.38,32.15,32.9,1.0,3,0.07118412046543464,32.38
2024-07-12,150.0,27.13,27.15,27.95,1.0,16,0.07118412046543464,27.13
2024-07-12,155.0,22.4,21.45,23.15,2.0,1,0.07118412046543464,22.4
2024-07-12,160.0,17.47,17.7,18.2,4.0,131,0.07118412046543464,17.47
2024-07-12,165.0,12.85,13.1,13.55,12.0,85,0.07118412046543464,12.85
2024-07-12,170.0,8.93,8.9,9.35,38.0,106,0.07118412046543464,8.93
2024-07-12,175.0,5.5,5.45,5.7,153.0,533,0.07118412046543464,5.5
2024-07-12,180.0,3.01,2.96,3.15,252.0,579,0.07118412046543464,3.01
2024-07-12,185.0,1.46,0.8,1.55,689.0,571,0.07118412046543464,1.46
2024-07-12,190.0,0.58,0.57,0.69,31.0,385,0.07118412046543464,0.58
2024-07-12,195.0,0.23,0.24,0.28,36.0,134,0.07118412046543464,0.23
2024-07-12,200.0,0.12,0.1,0.17,79.0,63,0.07118412046543464,0.12
2024-07-12,205.0,0.06,0.03,0.13,2.0,31,0.07118412046543464,0.06
2024-07-12,210.0,0.06,0.02,0.11,1.0,1,0.07118412046543464,0.06
2024-07-12,215.0,0.05,0.0,0.1,57.0,57,0.07118412046543464,0.05
2024-07-12,220.0,0.1,0.0,0.29,,1,0.07118412046543464,0.1
2024-07-19,70.0,106.1,105.9,107.55,1.0,3,0.09034907597535935,106.1
2024-07-19,75.0,67.86,77.75,80.9,1.0,3,0.09034907597535935,67.86
2024-07-19,80.0,95.6,95.95,97.6,8.0,21,0.09034907597535935,95.6
2024-07-19,85.0,74.69,89.2,91.0,2.0,11,0.09034907597535935,74.69
2024-07-19,90.0,76.13,80.7,84.8,5.0,10,0.09034907597535935,76.13
2024-07-19,95.0,72.19,79.65,81.2,4.0,73,0.09034907597535935,72.19
2024-07-19,100.0,73.52,77.05,77.75,1.0,330,0.09034907597535935,73.52
2024-07-19,105.0,69.68,72.05,72.8,175.0,1308,0.09034907597535935,69.68
2024-07-19,110.0,65.55,67.1,67.8,100.0,167,0.09034907597535935,65.55
2024-07-19,115.0,62.2,61.15,62.8,2.0,187,0.09034907597535935,62.2
2024-07-19,120.0,57.0,57.15,57.8,2.0,417,0.09034907597535935,57.0
2024-07-19,125.0,52.27,52.2,52.95,25.0,412,0.09034907597535935,52.27
2024-07-19,130.0,46.81,46.25,47.95,44.0,815,0.09034907597535935,46.81
2024-07-19,135.0,41.79,42.25,43.0,4.0,662,0.09034907597535935,41.79
2024-07-19,140.0,37.47,37.3,38.05,109.0,4346,0.09034907597535935,37.47
2024-07-19,145.0,32.21,32.35,33.1,1.0,2144,0.09034907597535935,32.21
2024-07-19,150.0,27.25,26.5,28.2,9.0,2662,0.09034907597535935,27.25
2024-07-19,155.0,22.32,21.6,23.8,3.0,4248,0.09034907597535935,22.32
2024-07-19,160.0,18.0,17.0,19.35,7.0,7166,0.09034907597535935,18.0
2024-07-19,165.0,13.44,13.55,13.8,54.0,5952,0.09034907597535935,13.44
2024-07-19,170.0,9.6,9.55,9.7,250.0,12698,0.09034907597535935,9.6
2024-07-19,175.0,6.2,6.15,6.25,553.0,17815,0.09034907597535935,6.2
2024-07-19,180.0,3.65,3.6,3.7,2108.0,10525,0.09034907597535935,3.65
2024-07-19,185.0,1.92,1.91,1.97,805.0,7290,0.09034907597535935,1.92
2024-07-19,190.0,0.95,0.91,1.0,1172.0,9624,0.09034907597535935,0.95
2024-07-19,195.0,0.46,0.39,0.46,1037.0,5935,0.09034907597535935,0.46
2024-07-19,200.0,0.23,0.2,0.24,774.0,5252,0.09034907597535935,0.23
2024-07-19,205.0,0.12,0.1,0.15,16.0,277,0.09034907597535935,0.12
2024-07-19,210.0,0.08,0.06,0.11,1.0,530,0.09034907597535935,0.08
2024-07-19,215.0,0.03,0.04,0.09,1.0,209,0.09034907597535935,0.03
2024-07-19,220.0,0.04,0.02,0.07,13.0,341,0.09034907597535935,0.04
2024-07-19,225.0,0.05,0.0,0.06,1.0,104,0.09034907597535935,0.05
2024-07-19,230.0,0.03,0.0,0.07,23.0,632,0.09034907597535935,0.03
2024-07-19,235.0,0.04,0.0,0.1,1.0,312,0.09034907597535935,0.04
2024-07-19,240.0,0.04,0.01,0.1,10.0,100,0.09034907597535935,0.04
2024-07-19,265.0,0.02,0.0,0.09,11.0,157,0.09034907597535935,0.02
2024-07-19,280.0,0.01,0.0,0.22,,3,0.09034907597535935,0.01
2024-07-19,290.0,0.02,0.0,0.08,,50,0.09034907597535935,0.02
2024-07-19,295.0,0.01,0.0,0.22,1.0,1,0.09034907597535935,0.01
2024-07-19,300.0,0.05,0.0,0.19,,2,0.09034907597535935,0.05
2024-07-26,75.0,102.8,101.45,102.9,1.0,1,0.10951403148528405,102.8
2024-07-26,80.0,96.9,96.5,97.9,1.0,1,0.10951403148528405,96.9
2024-07-26,105.0,72.1,71.6,73.1,10.0,10,0.10951403148528405,72.1
2024-07-26,125.0,51.71,51.75,53.25,1.0,1,0.10951403148528405,51.71
2024-07-26,130.0,46.79,46.85,48.4,2.0,2,0.10951403148528405,46.79
2024-07-26,135.0,42.47,41.8,43.5,2.0,4,0.10951403148528405,42.47
2024-07-26,140.0,37.46,36.85,38.6,2.0,3,0.10951403148528405,37.46
2024-07-26,145.0,32.75,31.95,33.65,2.0,2,0.10951403148528405,32.75
2024-07-26,150.0,28.62,27.45,29.4,,18,0.10951403148528405,28.62
2024-07-26,155.0,23.35,22.6,24.9,1.0,11,0.10951403148528405,23.35
2024-07-26,160.0,19.13,18.6,19.7,1.0,12,0.10951403148528405,19.13
2024-07-26,165.0,14.83,13.95,15.45,3.0,16,0.10951403148528405,14.83
2024-07-26,170.0,11.39,10.95,12.15,19.0,49,0.10951403148528405,11.39
2024-07-26,175.0,8.2,7.25,8.65,23.0,173,0.10951403148528405,8.2
2024-07-26,180.0,5.7,5.2,5.9,134.0,359,0.10951403148528405,5.7
2024-07-26,185.0,4.1,3.45,3.95,183.0,166,0.10951403148528405,4.1
2024-07-26,190.0,2.48,2.32,2.5,21.0,84,0.10951403148528405,2.48
2024-07-26,195.0,1.45,1.12,1.8,158.0,194,0.10951403148528405,1.45
2024-07-26,200.0,0.92,0.75,1.0,115.0,143,0.10951403148528405,0.92
2024-07-26,205.0,0.6,0.52,0.63,5.0,30,0.10951403148528405,0.6
2024-07-26,210.0,0.33,0.3,0.53,12.0,16,0.10951403148528405,0.33
2024-07-26,215.0,0.27,0.09,0.89,4.0,8,0.10951403148528405,0.27
2024-07-26,220.0,0.2,0.04,0.75,8.0,8,0.10951403148528405,0.2
2024-07-26,225.0,0.16,0.02,0.65,4.0,4,0.10951403148528405,0.16
2024-07-26,235.0,0.12,0.0,0.6,12.0,6,0.10951403148528405,0.12
2024-08-02,150.0,27.35,27.5,30.35,2.0,2,0.12867898699520877,27.35
2024-08-02,155.0,23.55,23.35,24.35,2.0,2,0.12867898699520877,23.55
2024-08-02,160.0,19.5,18.95,21.95,1.0,1,0.12867898699520877,19.5
2024-08-02,165.0,14.5,15.4,16.55,1.0,2,0.12867898699520877,14.5
2024-08-02,175.0,8.75,8.75,9.6,10.0,12,0.12867898699520877,8.75
2024-08-02,180.0,6.46,6.15,6.5,11.0,44,0.12867898699520877,6.46
2024-08-02,185.0,4.32,4.1,4.75,118.0,11,0.12867898699520877,4.32
2024-08-02,190.0,3.05,2.69,3.95,8.0,8,0.12867898699520877,3.05
